ISBN,Título,Autor,Editor,Precio público,Cantidad
9788426405753,"El mar, el mar","Murdoch, Iris",LUMEN,23.90
9788416544776,Devastación,"Kristensen, Tom",Errata Naturae Editores,25.50
9788423431274,"El gran libro de los negocios online | Todo lo que necesitas saber y hacer para idear, desarrollar y comercializar tu negocio online","Baixas Calafell, Miquel",Deusto,23.95
9788433980410,El colgajo,"Lançon, Philippe",Editorial Anagrama,21.9000
